a,_,l,i,t,t,l,e,_,_,_,_,_
a,_,l,o,t,_,_,_,_,_,_,_,_
a,b,d,o,m,e,n,_,_,_,_,_,_
a,b,o,r,t,i,o,n,_,_,_,_,_
a,b,o,u,t,_,_,_,_,_,_,_,_
a,b,o,u,t,_,t,o,_,d,o,_,_
a,b,o,v,e,_,_,_,_,_,_,_,d
a,b,r,o,a,d,_,_,_,_,_,_,x
a,b,s,e,n,t,_,_,_,_,_,_,_
a,b,s,o,l,u,t,e,l,y,_,_,a
a,b,u,s,e,_,_,_,_,_,_,_,d
a,c,c,e,l,e,r,a,t,o,r,_,d
a,c,c,e,n,t,_,_,_,_,_,_,_
a,c,c,e,p,t,_,_,_,_,_,_,_
a,c,c,e,s,s,_,_,_,_,_,_,c
a,c,c,i,d,e,n,t,_,_,_,_,t
a,c,c,o,m,m,o,d,a,t,i,o,e
a,c,c,o,m,p,a,n,y,_,_,_,a
a,c,c,o,m,p,l,i,s,h,_,_,i
a,c,c,o,r,d,i,n,g,_,_,_,_
a,c,c,o,u,n,t,_,_,_,_,_,_
a,c,c,o,u,n,t,a,n,t,_,_,e
a,c,c,u,r,a,t,e,_,_,_,_,_
a,c,c,u,s,e,_,_,_,_,_,_,a
a,c,h,e,_,_,_,_,_,_,_,_,_
a,c,i,d,_,_,_,_,_,_,_,_,_
a,c,t,i,o,n,_,_,_,_,_,_,_
a,c,t,i,v,e,_,_,_,_,_,_,_
a,c,t,i,v,i,t,y,_,_,_,_,a
a,c,t,o,r,_,_,_,_,_,_,_,_
a,d,a,p,t,o,r,_,_,_,_,_,o
a,d,d,_,_,_,_,_,_,_,_,_,_
a,d,d,i,c,t,e,d,_,_,_,_,c
a,d,d,r,e,s,s,_,_,_,_,_,ó
a,d,j,u,s,t,_,_,_,_,_,_,_
a,d,m,i,s,s,i,o,n,_,_,_,n
a,d,m,i,t,_,_,_,_,_,_,_,r
a,d,o,l,e,s,c,e,n,t,_,_,e
a,d,o,p,t,_,_,_,_,_,_,_,_
a,d,u,l,t,_,_,_,_,_,_,_,_
a,d,u,l,t,e,r,y,_,_,_,_,i
a,d,v,a,n,c,e,_,_,_,_,_,l
a,d,v,a,n,c,e,d,_,_,_,_,o
a,d,v,a,n,t,a,g,e,_,_,_,_
a,d,v,e,n,t,u,r,e,_,_,_,a
a,d,v,e,r,t,i,s,e,m,e,n,_
a,d,v,i,c,e,_,_,_,_,_,_,_
a,d,v,i,s,e,_,_,_,_,_,_,a
a,e,r,i,a,l,_,_,_,_,_,_,_
a,f,f,e,c,t,_,_,_,_,_,_,_
a,f,f,e,c,t,i,o,n,_,_,_,_
a,f,f,o,r,d,_,_,_,_,_,_,e
a,f,r,a,i,d,_,_,_,_,_,_,o
a,f,r,a,i,d,_,_,_,_,_,_,i
a,f,t,e,r,_,_,_,_,_,_,_,_
a,f,t,e,r,_,_,_,_,_,_,_,_
a,f,t,e,r,n,o,o,n,_,_,_,_
a,f,t,e,r,w,a,r,d,s,_,_,_
a,g,a,i,n,_,_,_,_,_,_,_,z
a,g,a,i,n,s,t,_,_,_,_,_,_
a,g,e,_,_,_,_,_,_,_,_,_,_
a,g,e,n,c,y,_,_,_,_,_,_,_
a,g,e,n,t,_,_,_,_,_,_,_,_
a,g,g,r,e,s,s,i,v,e,_,_,o
a,g,o,_,_,_,_,_,_,_,_,_,a
a,g,r,e,e,_,_,_,_,_,_,_,e
a,i,m,_,_,_,_,_,_,_,_,_,o
a,i,r,_,_,_,_,_,_,_,_,_,_
a,i,r,_,b,a,s,e,_,_,_,_,r
a,i,r,_,f,i,l,t,e,r,_,_,_
