@relation spanish

@attribute one {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute two {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute thr {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute fou {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute fiv {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute six {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute sev {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute eig {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute nin {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute ten {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute ele {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}
@attribute twe {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}

@attribute class {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,10,11}


@data
a,_,l,i,t,t,l,e,_,_,_,_,p
a,_,l,o,t,_,_,_,_,_,_,_,m
a,b,d,o,m,e,n,_,_,_,_,_,a
a,b,o,r,t,i,o,n,_,_,_,_,a
a,b,o,u,t,_,_,_,_,_,_,_,s
a,b,o,u,t,_,t,o,_,d,o,_,e
a,b,o,v,e,_,_,_,_,_,_,_,e
a,b,r,o,a,d,_,_,_,_,_,_,i
a,b,s,e,n,t,_,_,_,_,_,_,a
a,b,s,o,l,u,t,e,l,y,_,_,a
a,b,u,s,e,_,_,_,_,_,_,_,a
a,c,c,e,l,e,r,a,t,o,r,_,a
a,c,c,e,n,t,_,_,_,_,_,_,a
a,c,c,e,p,t,_,_,_,_,_,_,a
a,c,c,e,s,s,_,_,_,_,_,_,t
a,c,c,i,d,e,n,t,_,_,_,_,a
a,c,c,o,m,m,o,d,a,t,i,o,a
a,c,c,o,m,p,a,n,y,_,_,_,a
a,c,c,o,m,p,l,i,s,h,_,_,c
a,c,c,o,r,d,i,n,g,_,_,_,s
a,c,c,o,u,n,t,_,_,_,_,_,c
a,c,c,o,u,n,t,a,n,t,_,_,c
a,c,c,u,r,a,t,e,_,_,_,_,p
a,c,c,u,s,e,_,_,_,_,_,_,a
a,c,h,e,_,_,_,_,_,_,_,_,d
a,c,i,d,_,_,_,_,_,_,_,_,0
a,c,t,i,o,n,_,_,_,_,_,_,a
a,c,t,i,v,e,_,_,_,_,_,_,a
a,c,t,i,v,i,t,y,_,_,_,_,a
a,c,t,o,r,_,_,_,_,_,_,_,a
a,d,a,p,t,o,r,_,_,_,_,_,a
a,d,d,_,_,_,_,_,_,_,_,_,a
a,d,d,i,c,t,e,d,_,_,_,_,s
a,d,d,r,e,s,s,_,_,_,_,_,d
a,d,j,u,s,t,_,_,_,_,_,_,a
a,d,m,i,s,s,i,o,n,_,_,_,a
a,d,m,i,t,_,_,_,_,_,_,_,c
a,d,o,l,e,s,c,e,n,t,_,_,a
a,d,o,p,t,_,_,_,_,_,_,_,a
a,d,u,l,t,_,_,_,_,_,_,_,a
a,d,u,l,t,e,r,y,_,_,_,_,a
a,d,v,a,n,c,e,_,_,_,_,_,p
a,d,v,a,n,c,e,d,_,_,_,_,a
a,d,v,a,n,t,a,g,e,_,_,_,v
a,d,v,e,n,t,u,r,e,_,_,_,a
a,d,v,e,r,t,i,s,e,m,e,n,a
a,d,v,i,c,e,_,_,_,_,_,_,c
